,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,region,sub-region
0,Afghanistan,0,0,0,0.0,Asia,Southern Asia
1,Albania,89,132,54,4.9,Europe,Southern Europe
2,Algeria,25,0,14,0.7,Africa,Northern Africa
3,Andorra,245,138,312,12.4,Europe,Southern Europe
4,Angola,217,57,45,5.9,Africa,Sub-Saharan Africa
5,Antigua & Barbuda,102,128,45,4.9,,
6,Argentina,193,25,221,8.3,Americas,Latin America and the Caribbean
7,Armenia,21,179,11,3.8,Asia,Western Asia
8,Australia,261,72,212,10.4,Oceania,Australia and New Zealand
9,Austria,279,75,191,9.7,Europe,Western Europe
10,Azerbaijan,21,46,5,1.3,Asia,Western Asia
11,Bahamas,122,176,51,6.3,Americas,Latin America and the Caribbean
12,Bahrain,42,63,7,2.0,Asia,Western Asia
13,Bangladesh,0,0,0,0.0,Asia,Southern Asia
14,Barbados,143,173,36,6.3,Americas,Latin America and the Caribbean
15,Belarus,142,373,42,14.4,Europe,Eastern Europe
16,Belgium,295,84,212,10.5,Europe,Western Europe
17,Belize,263,114,8,6.8,Americas,Latin America and the Caribbean
18,Benin,34,4,13,1.1,Africa,Sub-Saharan Africa
19,Bhutan,23,0,0,0.4,Asia,Southern Asia
20,Bolivia,167,41,8,3.8,,
21,Bosnia-Herzegovina,76,173,8,4.6,,
22,Botswana,173,35,35,5.4,Africa,Sub-Saharan Africa
23,Brazil,245,145,16,7.2,Americas,Latin America and the Caribbean
24,Brunei,31,2,1,0.6,,
25,Bulgaria,231,252,94,10.3,Europe,Eastern Europe
26,Burkina Faso,25,7,7,4.3,Africa,Sub-Saharan Africa
27,Burundi,88,0,0,6.3,Africa,Sub-Saharan Africa
28,Cote d'Ivoire,37,1,7,4.0,,
29,Cabo Verde,144,56,16,4.0,Africa,Sub-Saharan Africa
30,Cambodia,57,65,1,2.2,Asia,South-eastern Asia
31,Cameroon,147,1,4,5.8,Africa,Sub-Saharan Africa
32,Canada,240,122,100,8.2,Americas,Northern America
33,Central African Republic,17,2,1,1.8,Africa,Sub-Saharan Africa
34,Chad,15,1,1,0.4,Africa,Sub-Saharan Africa
35,Chile,130,124,172,7.6,Americas,Latin America and the Caribbean
36,China,79,192,8,5.0,Asia,Eastern Asia
37,Colombia,159,76,3,4.2,Americas,Latin America and the Caribbean
38,Comoros,1,3,1,0.1,Africa,Sub-Saharan Africa
39,Congo,76,1,9,1.7,Africa,Sub-Saharan Africa
40,Cook Islands,0,254,74,5.9,Oceania,Polynesia
41,Costa Rica,149,87,11,4.4,Americas,Latin America and the Caribbean
42,Croatia,230,87,254,10.2,Europe,Southern Europe
43,Cuba,93,137,5,4.2,Americas,Latin America and the Caribbean
44,Cyprus,192,154,113,8.2,Asia,Western Asia
45,Czech Republic,361,170,134,11.8,,
46,North Korea,0,0,0,0.0,,
47,DR Congo,32,3,1,2.3,,
48,Denmark,224,81,278,10.4,Europe,Northern Europe
49,Djibouti,15,44,3,1.1,Africa,Sub-Saharan Africa
50,Dominica,52,286,26,6.6,Americas,Latin America and the Caribbean
51,Dominican Republic,193,147,9,6.2,Americas,Latin America and the Caribbean
52,Ecuador,162,74,3,4.2,Americas,Latin America and the Caribbean
53,Egypt,6,4,1,0.2,Africa,Northern Africa
54,El Salvador,52,69,2,2.2,Americas,Latin America and the Caribbean
55,Equatorial Guinea,92,0,233,5.8,Africa,Sub-Saharan Africa
56,Eritrea,18,0,0,0.5,Africa,Sub-Saharan Africa
57,Estonia,224,194,59,9.5,Europe,Northern Europe
58,Ethiopia,20,3,0,0.7,Africa,Sub-Saharan Africa
59,Fiji,77,35,1,2.0,Oceania,Melanesia
60,Finland,263,133,97,10.0,Europe,Northern Europe
61,France,127,151,370,11.8,Europe,Western Europe
62,Gabon,347,98,59,8.9,Africa,Sub-Saharan Africa
63,Gambia,8,0,1,2.4,Africa,Sub-Saharan Africa
64,Georgia,52,100,149,5.4,Asia,Western Asia
65,Germany,346,117,175,11.3,Europe,Western Europe
66,Ghana,31,3,10,1.8,Africa,Sub-Saharan Africa
67,Greece,133,112,218,8.3,Europe,Southern Europe
68,Grenada,199,438,28,11.9,Americas,Latin America and the Caribbean
69,Guatemala,53,69,2,2.2,Americas,Latin America and the Caribbean
70,Guinea,9,0,2,0.2,Africa,Sub-Saharan Africa
71,Guinea-Bissau,28,31,21,2.5,Africa,Sub-Saharan Africa
72,Guyana,93,302,1,7.1,Americas,Latin America and the Caribbean
73,Haiti,1,326,1,5.9,Americas,Latin America and the Caribbean
74,Honduras,69,98,2,3.0,Americas,Latin America and the Caribbean
75,Hungary,234,215,185,11.3,Europe,Eastern Europe
76,Iceland,233,61,78,6.6,Europe,Northern Europe
77,India,9,114,0,2.2,Asia,Southern Asia
78,Indonesia,5,1,0,0.1,Asia,South-eastern Asia
79,Iran,0,0,0,0.0,,
80,Iraq,9,3,0,0.2,Asia,Western Asia
81,Ireland,313,118,165,11.4,Europe,Northern Europe
82,Israel,63,69,9,2.5,Asia,Western Asia
83,Italy,85,42,237,6.5,Europe,Southern Europe
84,Jamaica,82,97,9,3.4,Americas,Latin America and the Caribbean
85,Japan,77,202,16,7.0,Asia,Eastern Asia
86,Jordan,6,21,1,0.5,Asia,Western Asia
87,Kazakhstan,124,246,12,6.8,Asia,Central Asia
88,Kenya,58,22,2,1.8,Africa,Sub-Saharan Africa
89,Kiribati,21,34,1,1.0,Oceania,Micronesia
90,Kuwait,0,0,0,0.0,Asia,Western Asia
91,Kyrgyzstan,31,97,6,2.4,Asia,Central Asia
92,Laos,62,0,123,6.2,,
93,Latvia,281,216,62,10.5,Europe,Northern Europe
94,Lebanon,20,55,31,1.9,Asia,Western Asia
95,Lesotho,82,29,0,2.8,Africa,Sub-Saharan Africa
96,Liberia,19,152,2,3.1,Africa,Sub-Saharan Africa
97,Libya,0,0,0,0.0,Africa,Northern Africa
98,Lithuania,343,244,56,12.9,Europe,Northern Europe
99,Luxembourg,236,133,271,11.4,Europe,Western Europe
100,Madagascar,26,15,4,0.8,Africa,Sub-Saharan Africa
101,Malawi,8,11,1,1.5,Africa,Sub-Saharan Africa
102,Malaysia,13,4,0,0.3,Asia,South-eastern Asia
103,Maldives,0,0,0,0.0,Asia,Southern Asia
104,Mali,5,1,1,0.6,Africa,Sub-Saharan Africa
105,Malta,149,100,120,6.6,Europe,Southern Europe
106,Marshall Islands,0,0,0,0.0,Oceania,Micronesia
107,Mauritania,0,0,0,0.0,Africa,Sub-Saharan Africa
108,Mauritius,98,31,18,2.6,Africa,Sub-Saharan Africa
109,Mexico,238,68,5,5.5,Americas,Latin America and the Caribbean
110,Micronesia,62,50,18,2.3,,
111,Monaco,0,0,0,0.0,Europe,Western Europe
112,Mongolia,77,189,8,4.9,Asia,Eastern Asia
113,Montenegro,31,114,128,4.9,Europe,Southern Europe
114,Morocco,12,6,10,0.5,Africa,Northern Africa
115,Mozambique,47,18,5,1.3,Africa,Sub-Saharan Africa
116,Myanmar,5,1,0,0.1,Asia,South-eastern Asia
117,Namibia,376,3,1,6.8,Africa,Sub-Saharan Africa
118,Nauru,49,0,8,1.0,Oceania,Micronesia
119,Nepal,5,6,0,0.2,Asia,Southern Asia
120,Netherlands,251,88,190,9.4,Europe,Western Europe
121,New Zealand,203,79,175,9.3,Oceania,Australia and New Zealand
122,Nicaragua,78,118,1,3.5,Americas,Latin America and the Caribbean
123,Niger,3,2,1,0.1,Africa,Sub-Saharan Africa
124,Nigeria,42,5,2,9.1,Africa,Sub-Saharan Africa
125,Niue,188,200,7,7.0,Oceania,Polynesia
126,Norway,169,71,129,6.7,Europe,Northern Europe
127,Oman,22,16,1,0.7,Asia,Western Asia
128,Pakistan,0,0,0,0.0,Asia,Southern Asia
129,Palau,306,63,23,6.9,Oceania,Micronesia
130,Panama,285,104,18,7.2,Americas,Latin America and the Caribbean
131,Papua New Guinea,44,39,1,1.5,Oceania,Melanesia
132,Paraguay,213,117,74,7.3,Americas,Latin America and the Caribbean
133,Peru,163,160,21,6.1,Americas,Latin America and the Caribbean
